"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04"
"USC00144559","LAWRENCE, KS US","2018-01-01","0.0","0.0","0.0","-12.8","-23.3","-17.2",,,
"USC00144559","LAWRENCE, KS US","2018-01-02","0.0","0.0","0.0","-5.6","-18.9","-7.2",,,
"USC00144559","LAWRENCE, KS US","2018-01-03","0.0","0.0","0.0","-3.3","-14.4","-13.3",,,
"USC00144559","LAWRENCE, KS US","2018-01-04","0.0","0.0","0.0","-3.3","-15.0","-10.6",,,
"USC00144559","LAWRENCE, KS US","2018-01-05","0.0","0.0","0.0","-1.7","-12.2","-10.0",,,
"USC00144559","LAWRENCE, KS US","2018-01-06","0.3","0.0","0.0","3.3","-12.2","2.8",,,
"USC00144559","LAWRENCE, KS US","2018-01-07","0.8","0.0","0.0","3.3","-2.2","-0.6",,,
"USC00144559","LAWRENCE, KS US","2018-01-08","0.0","0.0","0.0","8.9","-2.2","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-01-09","0.5","0.0","0.0","6.1","0.6","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-01-10","3.8","0.0","0.0","11.7","-1.7","-1.7",,,"    1"
"USC00144559","LAWRENCE, KS US","2018-01-11","5.8","0.0","0.0","-1.7","-15.0","-15.0",,,
"USC00144559","LAWRENCE, KS US","2018-01-12","0.0","0.0","0.0","-7.8","-15.6","-11.7",,,
"USC00144559","LAWRENCE, KS US","2018-01-13","5.1","51.0","51.0","-7.8","-11.7","-7.8",,,
"USC00144559","LAWRENCE, KS US","2018-01-14","1.3","25.0","51.0","0.6","-10.0","-10.0",,,
"USC00144559","LAWRENCE, KS US","2018-01-15","0.0","0.0","25.0","-10.0","-20.0","-19.4",,,
"USC00144559","LAWRENCE, KS US","2018-01-16","0.0","0.0","25.0","-12.2","-20.0","-15.6",,,
"USC00144559","LAWRENCE, KS US","2018-01-17","0.0","0.0","25.0","-4.4","-17.2","-7.8",,,
"USC00144559","LAWRENCE, KS US","2018-01-18","0.0","0.0","0.0","3.9","-7.8","-1.1",,,
"USC00144559","LAWRENCE, KS US","2018-01-19","0.0","0.0","0.0","7.8","-1.7","6.1",,,
"USC00144559","LAWRENCE, KS US","2018-01-20","0.0","0.0","0.0","10.6","4.4","10.6",,,
"USC00144559","LAWRENCE, KS US","2018-01-21","2.5","0.0","0.0","16.7","1.1","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-01-22","2.5","3.0","0.0","2.8","-3.3","-3.3",,,
"USC00144559","LAWRENCE, KS US","2018-01-23","0.0","0.0","0.0","1.7","-3.9","-1.1",,,
"USC00144559","LAWRENCE, KS US","2018-01-24","0.0","0.0","0.0","10.6","-2.8","4.4",,,
"USC00144559","LAWRENCE, KS US","2018-01-25","0.0","0.0","0.0","18.3","2.8","9.4",,,
"USC00144559","LAWRENCE, KS US","2018-01-26","0.0","0.0","0.0","13.9","0.0","0.6",,,
"USC00144559","LAWRENCE, KS US","2018-01-27","0.0","0.0","0.0","12.8","-3.3","0.0",,,
"USC00144559","LAWRENCE, KS US","2018-01-28","0.0","0.0","0.0","3.9","-11.1","-6.7",,,
"USC00144559","LAWRENCE, KS US","2018-01-29","0.0","0.0","0.0","-1.1","-11.1","-2.8",,,
"USC00144559","LAWRENCE, KS US","2018-01-30","0.0","0.0","0.0","9.4","-5.0","2.8",,,
"USC00144559","LAWRENCE, KS US","2018-01-31","0.0","0.0","0.0","10.0","-3.9","-3.9",,,
"USC00144559","LAWRENCE, KS US","2018-02-01","0.0","0.0","0.0","-1.7","-11.7","-10.0",,,
"USC00144559","LAWRENCE, KS US","2018-02-02","0.0","0.0","0.0","2.8","-11.7","0.6",,,
"USC00144559","LAWRENCE, KS US","2018-02-03","0.0","0.0","0.0","8.9","-8.3","-8.3",,,
"USC00144559","LAWRENCE, KS US","2018-02-04","2.5","51.0","51.0","-5.6","-16.7","-13.3",,,
"USC00144559","LAWRENCE, KS US","2018-02-05","0.0","0.0","51.0","-5.6","-15.6","-11.1",,,
"USC00144559","LAWRENCE, KS US","2018-02-06","0.0","0.0","51.0","-7.2","-12.8","-11.1",,,
"USC00144559","LAWRENCE, KS US","2018-02-07","0.0","0.0","0.0","-1.7","-12.8","-3.9",,,
"USC00144559","LAWRENCE, KS US","2018-02-08","0.0","0.0","0.0","12.2","-4.4","-3.9",,,
"USC00144559","LAWRENCE, KS US","2018-02-09","0.0","0.0","0.0","-1.7","-10.6","-10.6",,,
"USC00144559","LAWRENCE, KS US","2018-02-10","0.0","0.0","0.0","-6.7","-11.7","-11.1",,,
"USC00144559","LAWRENCE, KS US","2018-02-11","0.0","0.0","0.0","0.0","-11.1","-8.9",,,
"USC00144559","LAWRENCE, KS US","2018-02-12","0.0","0.0","0.0","2.2","-10.0","-2.8",,,
"USC00144559","LAWRENCE, KS US","2018-02-13","0.0","0.0","0.0","8.9","-3.3","6.1","    1",,
"USC00144559","LAWRENCE, KS US","2018-02-14","0.0","0.0","0.0","15.6","3.9","15.6",,,
"USC00144559","LAWRENCE, KS US","2018-02-15","0.0","0.0","0.0","17.2","-5.0","-5.0",,,
"USC00144559","LAWRENCE, KS US","2018-02-16","0.0","0.0","0.0","2.2","-6.1","0.0",,,
"USC00144559","LAWRENCE, KS US","2018-02-17","0.0","0.0","0.0","12.2","-1.1","4.4",,,
"USC00144559","LAWRENCE, KS US","2018-02-18","0.0","0.0","0.0","16.7","3.3","16.7",,,
"USC00144559","LAWRENCE, KS US","2018-02-19","6.9","0.0","0.0","17.8","-2.8","-2.2",,,
"USC00144559","LAWRENCE, KS US","2018-02-20","0.5","0.0","0.0","-1.7","-10.6","-10.6",,,
"USC00144559","LAWRENCE, KS US","2018-02-21","0.0","0.0","0.0","-3.9","-10.6","-3.9",,,
"USC00144559","LAWRENCE, KS US","2018-02-22","2.3","0.0","0.0","0.0","-3.9","-0.6",,,
"USC00144559","LAWRENCE, KS US","2018-02-23","4.8","0.0","0.0","0.6","-0.6","0.6",,,
"USC00144559","LAWRENCE, KS US","2018-02-24","1.3","0.0","0.0","3.3","-3.3","-1.7",,,
"USC00144559","LAWRENCE, KS US","2018-02-25","0.0","0.0","0.0","9.4","-3.9","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-02-26","0.0","0.0","0.0","15.6","0.6","11.1",,,
"USC00144559","LAWRENCE, KS US","2018-02-27","0.8","0.0","0.0","19.4","6.1","10.0",,,
"USC00144559","LAWRENCE, KS US","2018-02-28","0.0","0.0","0.0","13.9","-0.6","2.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-01","0.0","0.0","0.0","11.7","-1.1","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-02","0.0","0.0","0.0","14.4","-0.6","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-03","0.0","0.0","0.0","19.4","3.9","8.9",,,
"USC00144559","LAWRENCE, KS US","2018-03-04","0.0","0.0","0.0","17.8","5.6","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-05","0.0","0.0","0.0","12.2","2.2","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-06","0.0","0.0","0.0","3.3","-4.4","-2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-07","0.0","0.0","0.0","6.1","-6.7","-3.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-08","0.0","0.0","0.0","7.2","-6.7","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-03-09","0.0","0.0","0.0","16.1","-1.1","7.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-10","0.0","0.0","0.0","13.9","-1.1","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-11","0.0","0.0","0.0","5.0","-1.1","-1.1",,,
"USC00144559","LAWRENCE, KS US","2018-03-12","0.0","0.0","0.0","10.6","-2.8","-1.7",,,
"USC00144559","LAWRENCE, KS US","2018-03-13","0.0","0.0","0.0","10.6","-2.8","-0.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-14","0.0","0.0","0.0","17.8","-1.7","9.4",,,
"USC00144559","LAWRENCE, KS US","2018-03-15","2.8","0.0","0.0","23.3","8.3","8.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-16","1.5","0.0","0.0","18.3","2.2","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-17","0.0","0.0","0.0","6.7","2.2","3.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-18","15.5","0.0","0.0","11.7","3.3","3.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-19","12.7","0.0","0.0","7.8","2.8","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-03-20","0.0","0.0","0.0","6.7","-1.1","-0.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-21","0.0","0.0","0.0","12.2","-1.1","6.1",,,
"USC00144559","LAWRENCE, KS US","2018-03-22","0.0","0.0","0.0","20.0","5.6","7.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-23","0.0","0.0","0.0","16.7","6.7","7.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-24","0.0","0.0","0.0","8.9","0.6","0.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-25","7.1","0.0","0.0","10.0","0.6","6.7",,"    1",
"USC00144559","LAWRENCE, KS US","2018-03-26","3.3","0.0","0.0","14.4","3.9","3.9","    1",,
"USC00144559","LAWRENCE, KS US","2018-03-27","0.0","0.0","0.0","14.4","3.9","4.4",,,
"USC00144559","LAWRENCE, KS US","2018-03-28","0.0","0.0","0.0","10.0","3.3","4.4",,,
"USC00144559","LAWRENCE, KS US","2018-03-29","0.0","0.0","0.0","6.1","-1.1","1.7",,,
"USC00144559","LAWRENCE, KS US","2018-03-30","0.0","0.0","0.0","13.9","-1.1","12.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-31","0.0","0.0","0.0","15.6","-2.2","-2.2",,,
"USC00144559","LAWRENCE, KS US","2018-04-01","0.5","5.0","0.0","-2.2","-5.0","-5.0",,,
"USC00144559","LAWRENCE, KS US","2018-04-02","4.1","0.0","0.0","2.2","-5.0","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-03","0.0","0.0","0.0","4.4","-7.8","-7.2",,,
"USC00144559","LAWRENCE, KS US","2018-04-04","0.8","0.0","0.0","7.2","-7.2","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-04-05","0.0","0.0","0.0","20.0","3.3","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-04-06","0.3","5.0","0.0","6.1","-7.8","-6.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-07","0.0","0.0","0.0","6.1","-7.2","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-08","2.8","0.0","0.0","2.2","-1.7","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-09","0.0","0.0","0.0","8.3","-1.1","1.7",,,
"USC00144559","LAWRENCE, KS US","2018-04-10","0.0","0.0","0.0","16.7","0.0","10.6",,,
"USC00144559","LAWRENCE, KS US","2018-04-11","0.0","0.0","0.0","26.7","9.4","16.1",,,
